temp,tempmax,precip,Conditions,label
47,59,0.0, ,Mild
48,63,0.0, ,Mild
56,64,0.0, ,Mild
68,74,0.0,Rain,Mild
71,74,0.26,Rain,Wet
58,74,1.46,"Fog , Rain",Wet
42,44,0.25,Rain,Wet
45,47,0.04,Rain,Mild
50,55,0.0, ,Mild
53,59,0.0, ,Mild
55,68,0.0,Fog,Mild
52,63,0.0, ,Mild
50,63,0.0, ,Mild
51,65,0.0, ,Mild
57,70,0.0, ,Mild
57,69,0.0, ,Mild
59,75,0.0, ,Mild
62,76,0.0, ,Mild
65,78,0.0, ,Mild
66,79,0.0,Fog,Mild
73,75,0.01,Rain,Mild
60,74,1.54,Rain,Wet
59,75,0.0, ,Mild
64,75,0.0, ,Mild
55,63,0.0, ,Mild
54,68,0.0, ,Mild
46,58,0.0, ,Mild
51,66,0.0, ,Mild
59,67,0.0,Rain,Mild
65,76,0.0, ,Mild
64,79,0.0, ,Mild
67,81,0.0, ,Mild
63,74,0.0, ,Mild
61,70,0.0, ,Mild
74,78,0.1,Rain,Mild
55,73,1.32,"Rain , Thunderstorm",Wet
41,46,0.0, ,Mild
43,49,0.03,Rain,Mild
49,57,0.0,Rain,Mild
46,53,0.0, ,Mild
46,48,0.0,Rain,Mild
45,47,0.2,Rain,Wet
52,62,0.0,Rain,Mild
48,58,0.0, ,Mild
46,56,0.0,Rain,Mild
50,53,0.13,"Rain , Thunderstorm",Wet
61,73,0.0,Fog,Mild
55,66,0.0,Thunderstorm,Mild
48,58,0.0, ,Mild
42,50,0.0, ,Mild
45,56,0.0, ,Mild
50,66,0.0, ,Mild
52,66,0.0, ,Mild
59,70,0.0, ,Mild
59,70,0.0, ,Mild
54,64,0.0,Rain,Mild
45,57,0.0, ,Mild
48,59,0.0, ,Mild
56,69,0.0, ,Mild
51,57,0.0, ,Mild
54,64,0.01,Rain,Mild
46,54,0.0, ,Mild
44,57,0.0, ,Mild
53,70,0.0, ,Mild
66,75,0.0, ,Mild
51,58,0.0,Rain,Mild
48,59,0.0, ,Mild
52,71,0.0, ,Mild
57,76,0.0, ,Mild
62,77,0.0, ,Mild
72,86,0.0, ,Mild
66,77,0.0,Fog,Mild
62,72,0.0, ,Mild
49,58,0.0, ,Mild
47,59,0.0, ,Mild
48,62,0.0, ,Mild
51,60,0.0,"Rain , Thunderstorm",Mild
50,68,0.0, ,Mild
56,65,0.0, ,Mild
57,74,0.0, ,Mild
56,74,0.0, ,Mild
68,83,0.0, ,Mild
63,79,0.0, ,Mild
64,75,0.0, ,Mild
66,75,0.0, ,Mild
62,74,0.0, ,Mild
63,82,0.0, ,Mild
63,75,0.0, ,Mild
67,79,0.0, ,Mild
73,81,0.0, ,Mild
